City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,aasiaat,68.7098,-52.8699,-14.92,90,100,0.35,GL,1710434440
149,puerto ayora,-0.7393,-90.3518,28.98,92,57,3.58,EC,1710434440
150,vidyayevo,69.3191,32.8049,-3.56,97,100,2.07,RU,1710434440
151,port mathurin,-19.6833,63.4167,26.63,80,1,9.95,MU,1710434440
152,whitehorse,60.7161,-135.0538,0.43,86,40,9.77,CA,1710434159
153,pirapora,-17.345,-44.9419,31.57,54,55,1.44,BR,1710434345
154,kingston,17.997,-76.7936,30.53,62,20,5.14,JM,1710434435
155,luocheng,29.3848,104.0286,15.5,62,81,0.58,CN,1710434441
156,algeciras,36.1333,-5.4505,21.82,56,20,3.6,ES,1710434164
157,delta del tigre,-34.7633,-56.3853,22.23,88,75,5.66,UY,1710434298
158,dengi,9.3667,9.95,37.28,19,95,0.35,NG,1710434441
159,ormond-by-the-sea,29.3491,-81.0665,26.15,50,0,2.57,US,1710434441
160,moose jaw,50.4001,-105.5344,0.15,86,75,2.57,CA,1710434442
161,fomboni,-12.28,43.7425,28.91,76,10,5.2,KM,1710434443
162,inhambane,-23.865,35.3833,25.87,85,78,4.87,MZ,1710434443
163,vilyuchinsk,52.9306,158.4028,1.15,93,100,1.91,RU,1710434443
164,vilyuysk,63.7553,121.6247,-27.78,100,99,0.89,RU,1710434443
165,socorro,31.6546,-106.3033,17.16,36,0,2.57,US,1710434444
166,belokurikha,51.9959,84.9896,-8.82,95,100,1.6,RU,1710434444
167,el granada,37.5027,-122.4694,16.03,39,0,8.75,US,1710434444
168,fort irwin,35.2627,-116.6848,9.9,25,0,10.29,US,1710434444
169,tazacorte,28.629,-17.9293,21.54,76,40,3.09,ES,1710434444
170,nyurba,63.2842,118.3319,-29.15,100,87,1.66,RU,1710434445
171,plastun,44.7561,136.2939,-2.77,79,25,2.15,RU,1710434445
172,bilibino,68.0546,166.4372,-19.08,95,100,1.57,RU,1710434445
173,olyokminsk,60.3736,120.4264,-11.59,91,100,3.61,RU,1710434445
174,plymouth,41.8334,-70.8328,16.72,61,0,1.54,US,1710434445
175,santa elena de uairen,4.6167,-61.1333,32.94,31,19,3.92,VE,1710434445
176,balogo,10.8868,124.7105,23.84,90,73,2.62,PH,1710434445
177,la gi,10.6667,107.7833,25.7,82,100,5.44,VN,1710434445
178,conduaga,8.862,117.4893,24.55,73,98,1.95,PH,1710434445
179,abeche,13.8292,20.8324,34.95,8,100,4.32,TD,1710434446
180,isafjordur,66.0755,-23.124,-1.98,64,75,7.72,IS,1710434446
181,la palma,33.8464,-118.0467,18.57,26,40,5.36,US,1710434446
182,lihue,21.9789,-159.3672,21.58,86,0,6.17,US,1710434402
183,vila velha,-20.3297,-40.2925,30.97,81,20,5.66,BR,1710434446
184,ringkobing,56.0901,8.244,9.45,96,100,7.69,DK,1710434446
185,flying fish cove,-10.4217,105.6791,25.82,83,75,3.6,CX,1710434446
186,polva,58.0603,27.0694,6.12,81,99,5.41,EE,1710434446
187,ciudad rodrigo,40.6,-6.5333,14.87,77,76,3.44,ES,1710434446
188,nechi,8.0942,-74.7757,35.29,51,89,1.01,CO,1710434446
189,sitka,57.0531,-135.33,6.94,76,75,5.14,US,1710434446
190,balakovo,52.0278,47.8007,-7.23,97,28,1.97,RU,1710434446
191,cidreira,-30.1811,-50.2056,28.01,66,19,4.14,BR,1710434283
192,ar ruways,24.1103,52.7306,22.37,72,2,4.2,AE,1710434446
193,cabo san lucas,22.8909,-109.9124,25.34,48,100,4.12,MX,1710434306
194,mariestad,58.7097,13.8237,8.61,91,100,4.78,SE,1710434167
195,al jawf,29.5,38.75,20.78,17,74,3.58,SA,1710434446
196,ngama,11.7833,17.1667,36.22,6,95,2.86,TD,1710434446
197,saint-joseph,-21.3667,55.6167,26.21,84,82,4.82,RE,1710434447
198,'ain el turk,35.7438,-0.7693,22.5,60,0,4.12,DZ,1710434447
199,moranbah,-22.0016,148.0466,23.27,83,29,5.38,AU,1710434447
200,eno,62.8051,30.1542,3.16,98,100,6.8,FI,1710434447
201,fortuna,40.5982,-124.1573,12.19,97,100,2.57,US,1710434447
202,sao jose da coroa grande,-8.8978,-35.1478,29.26,74,87,4.7,BR,1710434447
203,bandarbeyla,9.4942,50.8122,27.2,66,2,4.75,SO,1710434447
204,palapag,12.5458,125.1147,24.17,88,100,3.1,PH,1710434447
205,chibougamau,49.9168,-74.3659,0.79,75,75,2.57,CA,1710434447
206,manokwari,-0.8667,134.0833,25.96,83,100,3.24,ID,1710434447
207,soio,-6.1349,12.3689,28.91,78,18,5.17,AO,1710434447
208,nar'yan-mar,67.6713,53.087,-14.38,96,71,3.13,RU,1710434447
209,taoudenni,22.6783,-3.9836,34.39,7,0,5.31,ML,1710434447
210,argostolion,38.1811,20.489,16.04,52,20,4.63,GR,1710434447
211,port elizabeth,-33.918,25.5701,22.16,70,0,3.6,ZA,1710434357
212,east london,-33.0153,27.9116,21.52,78,20,2.57,ZA,1710434248
213,ust-nera,64.5667,143.2,-30.55,100,59,1.49,RU,1710434448
214,mildura,-34.2,142.15,18.37,68,42,5.92,AU,1710434448
215,port-vila,-17.7338,168.3219,24.78,100,75,1.03,VU,1710434448
216,sao tome,0.3365,6.7273,26.27,81,100,6.56,ST,1710434448
217,chonchi,-42.6128,-73.8092,16.18,55,61,2.54,CL,1710434448
218,richards bay,-28.783,32.0377,20.92,84,100,4.39,ZA,1710434448
219,kailua-kona,19.6406,-155.9956,21.98,80,0,2.57,US,1710434263
220,capitan bado,-23.2667,-55.5333,39.51,25,15,4.03,PY,1710434448
221,gounou gaya,9.6294,15.5132,38.19,10,99,1.75,TD,1710434448
222,atlantic city,39.3643,-74.4229,24.54,52,0,2.57,US,1710434448
223,luderitz,-26.6481,15.1594,19.15,69,5,8.02,NA,1710434448
224,sarangani,5.4033,125.4636,27.34,83,100,9.38,PH,1710434448
225,ulldecona,40.5973,0.4472,21.15,65,27,2.21,ES,1710434241
226,gaspe,48.8334,-64.4819,2.12,75,75,5.66,CA,1710434448
227,ulanhot,46.0833,122.0833,1.46,54,73,6.36,CN,1710434448
228,puerto deseado,-47.7503,-65.8938,15.71,31,3,9.97,AR,1710434448
229,arvayheer,46.2639,102.775,-4.97,76,88,2.03,MN,1710434448
